run,CHHCO,HHLA,SPEA2,MOEAD,NSGAII,MOMBI2,NSGAIII,ThetaDEA,SPEA2SDE,HypE,CMOEADD
0,4.89057,4.92139,4.63311,4.02799,3.77602,4.46164,4.90563,4.38814,4.62301,3.36652,0
1,4.61994,4.29468,4.57183,4.42377,4.61032,4.41658,4.9869,4.53353,4.85076,3.59578,0
2,4.64901,4.71283,4.85064,4.19415,4.69972,4.23339,4.84142,4.65439,4.58476,3.3976,0
3,4.85223,4.59492,4.48421,4.34947,4.81726,4.22061,4.98535,4.86331,4.86404,3.70606,1.5813
4,4.05152,4.65432,4.53478,4.59176,4.5836,3.89542,4.79051,4.71483,4.14419,3.26863,0.719049
5,4.4876,4.83575,4.75661,4235,4.83419,4.42115,4.77742,4.76768,4.67329,3.12579,0
6,4.59078,4.52142,4.77996,4.02806,4.27533,4.63173,5.07599,4.58262,4.73391,3.88479,1.42779
7,4.70453,4.34904,4.64568,4.41166,4.69995,4.46351,4.67009,4.82125,3.95203,3.65295,0.826414
8,4.91938,4.56613,4.33599,4.18408,4.08728,3.93866,4.58918,4.84801,3.72923,3.46066,1.3921
9,4.62484,4.79976,4.64364,4.39788,4.7429,4.78895,5.00217,4.83011,4.5795,3.18666,1.02044
10,4.50583,4.46993,4.77515,4.50789,4.03987,4.15906,4.48299,4.66902,4.61967,2.6765,0
11,4.70004,4.72246,4.72931,4.48396,4.48204,3.82382,4.9495,4.77226,4.79185,3.54136,0
12,5.04517,4.48327,4.36997,4.33527,4.38206,4.45958,5.0447,4.72996,4.25076,3.86224,0
13,4.28383,4.71403,4.74682,4.20886,4.56911,4.04975,4.82676,4.81119,4.41387,3.35864,0.590659
14,4.35386,4.89845,4.5054,4.42597,4.64202,3.74945,4.65349,4.49116,4.67648,3.20206,0.821661
15,3.97607,4.66825,4.96385,4.33315,4.96678,4.68183,4.94681,4.95754,4.71687,3.51464,0
16,4.70366,5.00047,4.65188,4.39365,4.31509,4.35678,5.00207,4.91649,4.63514,3.41318,0
17,4.70496,4.77452,4.51461,4.11176,4.63322,3.85062,4.86978,4.73918,4.30151,3.83473,1.44772
18,4.66707,4.66615,4.51222,3.98156,4.14395,4.41481,4.90244,4.45864,4.38189,3.14696,0.810023
19,4.72215,4.76427,4.26858,4.48594,4.79133,4.49583,4.91835,4.80949,4.19194,3.41099,1.55584
20,4.90918,4.73173,4.85336,4.58247,4.37229,4.44406,4.99128,4.64703,4.54266,3.18411,0
